id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
205299054,4886132068938,"Hướng dẫn sử dụng chai vệ sinh giày sneaker- Bước 1: Lắc nhẹ chai và xịt bọt đều lên phần cần làm sạch (Khoảng cách15-20cm )- Bước 2: Sau khi xịt bọt xong, bạn để bọt trong 2 phút - Bước 3: Sau 2 p...",55000,55000,,0,0,86,,available,,1000,1000,,839837,FuNu
108747100,3125066602908,"Ngày hè nóng nực mà muốn diện giày sneaker, giày thể thao thì đừng quên có siêu phẩm thoáng mát này nha.Mùa mưa sắp đến rồi!Chai xịt khử mùi giày với công nghệ Nano Bạc với tính năng diệt khuẩn khử m...",89100,99000,,9900,10,192,,available,,1000,1000,,5696865,AHT CORP
270538420,3690320748589,"Giày Thể thao 6cm CUT-OUT lưới kute PS296-1323 ● Chiều cao gót: 6cm● Màu: ĐEN/TRẮNG/TÍM/ĐỎ● Đóng GÓI HỘP VÀ KHO SẴN SÀNG● Chất liệu: Da PU● Chức năng: chống trượt, nhẹ và chống mài mòn● Dành ch...",296000,410000,,114000,28,0,,available,,1000,1000,,111461,OEM
272209986,9486577748376,"Giày Đế Cao Hở Gót Bít Mũi Phối Ren 10cm PS690-1317● Chiều cao gót: 10cm● Màu: ĐEN/ ĐỎ/ XANH/ NÂU/ HỒNG● Đóng GÓI HỘP VÀ KHO SẴN SÀNG● Chất liệu: Da vi sợi● Chức năng: chống trượt, nhẹ và chống m...",690000,777000,,87000,11,0,,available,,1000,1000,,111461,OEM
251265547,3994243273767,"Giày Sneakers đế cao sợi co giãn 9cm PS599-1226Với chất liệu sợi co giãn PS599-1226 rất ôm chân, giữ form giày luôn đẹp và gọn gàngTăng chiều cao 9cm với độ dốc vừa phải, vẫn là giày cao nhưng dễ ch...",599000,679000,,80000,12,0,,available,,1000,1000,,111461,OEM
198430922,8386358807913,"Thiết kế kiểu dáng sang trọng, hiện đại.Màu sắc trẻ trung, tươi tắn, tone màu pastel nhẹ nhàng.Size 40-41Dép làm bằng cao su cao cấp, rãnh chống trơn trượt nên an toàn.Cảm ơn quý khách!!!...",84550,89000,,4450,5,26,,available,,1000,1000,,4740303,EMHOME
205299054,4886132068938,"Hướng dẫn sử dụng chai vệ sinh giày sneaker- Bước 1: Lắc nhẹ chai và xịt bọt đều lên phần cần làm sạch (Khoảng cách15-20cm )- Bước 2: Sau khi xịt bọt xong, bạn để bọt trong 2 phút - Bước 3: Sau 2 p...",55000,55000,,0,0,86,,available,,1000,1000,,839837,FuNu
215898332,6053011222848,"Với công nghê Nano bạc tiên tiến nhất, tiêu diệt 99, 99% vi khuẩn, nấm mốc, vi sinh vật.Có tác dụng siêu tốc chỉ sau 5 giâyThời gian bảo vệ kéo dài từ 24-72 giờTrị nấm chân, ngứa, nổi mụn nước d...",20240,22000,,1760,8,1,,available,,1000,1000,,4269901,MO hi
108747100,3125066602908,"Ngày hè nóng nực mà muốn diện giày sneaker, giày thể thao thì đừng quên có siêu phẩm thoáng mát này nha.Mùa mưa sắp đến rồi!Chai xịt khử mùi giày với công nghệ Nano Bạc với tính năng diệt khuẩn khử m...",89100,99000,,9900,10,192,,available,,1000,1000,,5696865,AHT CORP
272913565,6580796613393,"Thiết kế khô thoáng, tạo sự thoải mái khi sử dụng, không bị gò bóChất liệu: 85% thành phần là nhựa PVC siêu bền. Chất nhựa mềm, dai, mặt dép bằng đi không đau chânDép sử dụng Dép Đi Trong Nhà, Căn Hộ ...",95000,145000,,50000,34,0,,available,,1000,1000,,4554495,CHIKIGON
