id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
154439372,2690048305224,"[ĐẸP CHẤT] Giày boot nữ cột dây 2 dây kéo sau gót cá tính năng động street style S028- Chất liệu da PU cao cấp, bên trong lót lông nỉ êm chân, ấm áp- Màu sắc đơn giản mà trẻ trung hiện đại nhưng không...",243000,259000,,16000,6,3,,available,,1000,1000,,111461,OEM
270448665,8552743454057,MLB - Dép quai ngang unisex Chunky Mound Diamond Monogram MÔ TẢ SẢN PHẨM Chất liệu: Synthetic Leather  Kiểu dáng dép quai ngang bản rộng cá tính Thiết kế với đế cao su chống trơn trượt Họa ti...,1690000,1690000,,0,0,1,,available,,1000,1000,,300463,MLB
126161857,2180070535539,LÓT GIÀY CAO GÓT HỮU ÍCH GIÚP TĂNG SIZE VÀ GIẢM ĐAU CHÂNTHÔNG TIN SẢN PHẨM LÓT MÙI GIÀY CAO GÓT- Chất liệu: cao su non thoáng khí và đàn hồi cực tốt- Màu sắc: màu kem hoặc màu đen- Size: Free size...,50000,50000,,0,0,6,,available,,1000,1000,,873387,DETAUNISEX
175650871,3206772345441,"GIÀY CAO GÓT, GIÀY CÔNG SỞ NỮ CS141-Thương hiệu: HT.NEO-Màu: đen, vàng bò, ghi-Thiết kế: kiểu dáng đơn giản, độc đáo, trẻ trung-Size: 35-39-Gót nhọn cao 5p Trọn bộ sản phâ...",140000,220000,,80000,36,11,,available,,1000,1000,,4612109,HT.NEO
47190687,4089626468964,"Giày cao gót thật quyến rũ và cũng thật ""Đau Đớn"" đối với đôi bàn chân. Không ít trường hợp bị trầy da chảy máu, chai sần da gót sau, thốn gót chân, thậm chí để lại sẹo. Sử dụng Combo 03 phụ kiện ch...",85000,160000,,75000,47,24,,available,,1000,1000,,496813,buybox
203293210,2678736377774,"THÔNG TIN CHI TIẾT VỀ SẢN PHẨMGiày lười trung niên nữ, giày vải thể thao nữ cho bà cho mẹChất liệu: vải lưới thoáng mát, mềm dễ dàng giặt, vệ sinh cho giàyChất liệu đế: cao su đi siêu nhẹ , đi rất ...",89000,89000,,0,0,0,,available,,1000,1000,,111461,OEM
90205419,7559251527341,       ---Bảng size giày:   Size 35: 22cm-22.4cm   Size 36 : 22.5cm-22.9cm   Size 37 : 23cm-23.4cm   Size 38 : 23.5cm - 23.9cm   Size 39 : 24cm - 24.4cm   Khách hàng đo chân chính xác để chọ...,179000,179000,,0,0,1,,available,,1000,1000,,111461,OEM
262781166,7919803730196,VỚ SILICONE SEBS CHỈNH HÌNH NGÓN CHÂN CÁIĐẶC ĐIỂM NỔI BẬT Vớ silicone SEBS mang trực tiếp vào bàn chân nên thoải mái vận động và di chuyển. Sản phẩm thiết kế từ chất liệu silicone cao c...,120000,132000,,12000,9,0,,available,,1000,1000,,496813,buybox
261970067,3263370503590,"• BỘ SƯU TẬP MỚI TỪ NATIVE SHOES : SUGARLITENhựa EVA Mía đường – “nhựa sinh học” được làm từ nguồn nguyên liệu tái tạo sẽ giúp giảm thiểu việc sử dụng nhựa tổng hợp có nguồn gốc từ dầu thô, khí đ...",800000,1250000,,450000,36,0,,available,,1000,1000,,325063,Native
195352531,3050657141524,Lót giày tăng chiều cao 3.5cm 2.5cm 1.5cm Sans925Lót giày tăng chiều cao Sans921 sẽ giúp Quý Khách tăng chiều cao đáng kể 1.5cm 2.5cm 3.5cm với chi phí vô cùng hợp lý.Miếng lót giầy tăng chiều cao đư...,59999,59999,,0,0,1,,available,,1000,1000,,111461,OEM
204304929,6354463322812,"[TRỢ SHIP_GIÀY XỊN] Giày bốt nữ, boots cao gót gót vuông 10 phân chunky hở mũi phối lưới S055- Chất da PU cao cấp dày dặn, phối lưới thoáng khí đẹp mắt- Gót cao khoảng 10cm- Phom dáng ôm chân thon gọn...",291000,310000,,19000,6,0,,available,,1000,1000,,111461,OEM
242715805,6934961126990,Giày bốt nữ da cổ cao hotrend buộc dây boot gót vuông đế 5cm Jayshop V329Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài G...,237000,237000,,0,0,0,,available,,1000,1000,,111461,OEM
52252644,2332838581085,VÌ SAO PHẢI CẦN TĂNG CHIỀU CAO??? Tăng chiều cao để vóc dáng đẹp hơnTăng chiều cao để dáng đi thêm kiêu hãnhTăng chiều cao để thêm tự tinTăng chiều cao để ăn mặc sang hơnTăng chiều cao đơn giản...,60000,120000,,60000,50,61,,available,,1000,1000,,496813,buybox
215746283,1521289047249,️Ta không thể nhắm mắt️Khi đang băng qua đường️Cũng như chẳng thể ghét️Một người đã từng thương.---ROSATA - thương hiệu giày thời trang nữ cao cấp THUẦN VIỆT NHƯNG CHẤT LƯỢNG QUỐC TẾ------------------...,399000,399000,,0,0,0,,available,,1000,1000,,160209,Rosata
